topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29,topic_30,topic_31,topic_32,topic_33,topic_34,topic_35,topic_36,topic_37,topic_38,topic_39,topic_40,topic_41,topic_42,topic_43,topic_44,topic_45,topic_46,topic_47,topic_48,topic_49,topic_50,topic_51,topic_52,topic_53,topic_54,topic_55,topic_56,topic_57,topic_58,topic_59
1.654052e-14,1.0401832e-11,2.632441e-14,0.9943932,2.674849e-11,3.892447e-07,2.6291296e-14,5.1938653e-12,4.578982e-12,0.0041325223,2.6291445e-14,4.099245e-12,5.139732e-12,0.000120567725,2.6291445e-14,4.33679e-12,4.938149e-12,8.257673e-05,2.6291494e-14,4.476401e-12,4.937678e-12,6.160105e-05,2.6291494e-14,4.4766226e-12,4.9377533e-12,0.00012123509,2.6291445e-14,4.4765545e-12,4.9376592e-12,0.00013072473,2.6291445e-14,4.476486e-12,4.937772e-12,0.00015967147,2.6291445e-14,4.476486e-12,4.937772e-12,0.0001336457,2.6291445e-14,4.47664e-12,4.937772e-12,0.00013254826,2.6291445e-14,4.47664e-12,4.937772e-12,0.00013316593,2.6291445e-14,4.47664e-12,4.937772e-12,0.00013198896,2.6291445e-14,4.47664e-12,4.937772e-12,0.00013306677,2.6291445e-14,4.47664e-12,4.937772e-12,0.00013297646,2.6291445e-14,4.47664e-12
1.0,6.3721806e-12,6.5070137e-12,6.8022476e-12,6.7955823e-12,6.3801095e-12,6.5065167e-12,6.80339e-12,6.80422e-12,6.377895e-12,6.507361e-12,6.8047915e-12,6.8031817e-12,6.379039e-12,6.5073116e-12,6.804324e-12,6.8034415e-12,6.3776523e-12,6.5073116e-12,6.804246e-12,6.8034675e-12,6.3776033e-12,6.5073116e-12,6.804246e-12,6.8034675e-12,6.3788445e-12,6.5073116e-12,6.804246e-12,6.8034675e-12,6.3788445e-12,6.5073116e-12,6.804246e-12,6.8034675e-12,6.3788445e-12,6.5073116e-12,6.804246e-12,6.8034675e-12,6.3788445e-12,6.5073116e-12,6.804246e-12,6.8034675e-12,6.3788445e-12,6.5073116e-12,6.804246e-12,6.8034675e-12,6.3788445e-12,6.5073116e-12,6.804246e-12,6.8034675e-12,6.3788445e-12,6.5073116e-12,6.804246e-12,6.8034675e-12,6.3788445e-12,6.5073116e-12,6.804246e-12,6.8034675e-12,6.3788445e-12,6.5073116e-12,6.804246e-12
8.926952e-14,0.99999905,1.4986071e-08,1.2346775e-13,1.2278996e-13,1.0702215e-09,2.7414695e-08,1.2251508e-13,1.2251485e-13,1.060005e-09,5.112994e-08,1.22509e-13,1.2251602e-13,1.0534825e-09,6.39098e-08,1.2251181e-13,1.2251508e-13,1.0630703e-09,6.1211104e-08,1.2251276e-13,1.2251485e-13,1.0620347e-09,6.626797e-08,1.2251276e-13,1.2251462e-13,1.0635631e-09,7.417486e-08,1.2251276e-13,1.2251485e-13,1.0635692e-09,7.62923e-08,1.2251276e-13,1.2251485e-13,1.0635712e-09,7.487178e-08,1.2251276e-13,1.2251485e-13,1.0635773e-09,7.504363e-08,1.2251276e-13,1.2251485e-13,1.0635692e-09,7.499083e-08,1.2251276e-13,1.2251485e-13,1.0635712e-09,7.46999e-08,1.2251276e-13,1.2251485e-13,1.0635773e-09,7.4775734e-08,1.2251276e-13,1.2251485e-13,1.0635712e-09,7.477559e-08,1.2251276e-13,1.2251485e-13,1.0635712e-09,7.477559e-08,1.2251276e-13
3.2750915e-14,8.337677e-10,4.5437893e-14,2.567333e-09,0.9904795,4.7977152e-14,4.5517176e-14,3.6019664e-08,1.60382e-08,4.7976783e-14,4.551735e-14,3.0872704e-09,0.00019855199,4.7976783e-14,4.551735e-14,1.0849981e-08,9.033197e-05,4.7976783e-14,4.551735e-14,8.628711e-08,0.00042625287,4.7976783e-14,4.551735e-14,8.213527e-08,0.000728939,4.7976783e-14,4.551735e-14,8.3340126e-08,0.00063724024,4.7976783e-14,4.551735e-14,9.255684e-08,0.0004552874,4.7976783e-14,4.551735e-14,9.298718e-08,0.00079717196,4.7976783e-14,4.551735e-14,9.2352096e-08,0.0012712412,4.7976783e-14,4.551735e-14,9.287462e-08,0.0013941256,4.7976783e-14,4.551735e-14,9.287356e-08,0.0006216919,4.7976783e-14,4.551735e-14,9.2847166e-08,0.0014380139,4.7976783e-14,4.551735e-14,9.272417e-08,0.0014605589,4.7976783e-14,4.551735e-14,9.300173e-08
1.0,5.2461035e-12,5.401927e-12,5.408484e-12,5.4106407e-12,5.2496267e-12,5.406566e-12,5.410176e-12,5.4107955e-12,5.2500474e-12,5.4068646e-12,5.4112908e-12,5.4101454e-12,5.249687e-12,5.406844e-12,5.41094e-12,5.4103306e-12,5.249727e-12,5.4068542e-12,5.4108055e-12,5.410341e-12,5.249727e-12,5.4068542e-12,5.4107955e-12,5.410341e-12,5.249677e-12,5.4068542e-12,5.4108055e-12,5.410341e-12,5.249677e-12,5.4068542e-12,5.410816e-12,5.410341e-12,5.249677e-12,5.4068542e-12,5.410816e-12,5.410341e-12,5.249677e-12,5.4068542e-12,5.410816e-12,5.410341e-12,5.249677e-12,5.4068542e-12,5.410816e-12,5.410341e-12,5.249677e-12,5.4068542e-12,5.410816e-12,5.410341e-12,5.249677e-12,5.4068542e-12,5.410816e-12,5.410341e-12,5.249677e-12,5.4068542e-12,5.410816e-12,5.410341e-12,5.249677e-12,5.4068542e-12,5.410816e-12
5.37824e-14,5.349594e-14,5.3537995e-14,0.9996978,1.2469827e-08,5.3497774e-14,5.3536667e-14,9.59813e-09,1.8068008e-07,5.3497774e-14,5.3538198e-14,6.7143278e-09,8.052021e-06,5.3497876e-14,5.3538198e-14,8.887136e-09,1.8893932e-05,5.3497876e-14,5.3538198e-14,1.0729178e-08,2.2555374e-05,5.3497876e-14,5.3538198e-14,1.0718278e-08,2.6135414e-05,5.3497774e-14,5.3538198e-14,1.0719279e-08,3.5512887e-05,5.3497774e-14,5.3538198e-14,1.07426725e-08,2.259919e-05,5.3497774e-14,5.3538198e-14,1.07436975e-08,2.3116743e-05,5.3497774e-14,5.3538198e-14,1.074337e-08,2.6871596e-05,5.3497774e-14,5.3538198e-14,1.0743595e-08,2.7030024e-05,5.3497774e-14,5.3538198e-14,1.074339e-08,3.6276673e-05,5.3497774e-14,5.3538198e-14,1.0743411e-08,2.7546695e-05,5.3497774e-14,5.3538198e-14,1.07435545e-08,2.7306454e-05,5.3497774e-14,5.3538198e-14,1.07436975e-08
1.3372329e-13,1.8979469e-13,1.8871321e-13,6.384513e-09,3.600292e-08,1.9458591e-13,1.8759854e-13,8.070962e-08,3.1259557e-07,1.9486039e-13,1.8760068e-13,1.389729e-08,4.9067345e-05,1.9486076e-13,1.8760032e-13,5.5841173e-08,0.00031191885,1.9486076e-13,1.8760068e-13,1.917782e-06,0.008789547,1.9486114e-13,1.8760068e-13,1.6223626e-06,0.035020687,1.9486076e-13,1.8760032e-13,1.6683492e-06,0.022268616,1.9486076e-13,1.8760032e-13,3.6464226e-06,0.00921859,1.9486076e-13,1.8760032e-13,3.836144e-06,0.04303894,1.9486076e-13,1.8760032e-13,3.8700937e-06,0.16170223,1.9486076e-13,1.8760032e-13,3.1560936e-05,0.20749336,1.9486076e-13,1.8760032e-13,4.4691265e-06,0.0190664,1.9486076e-13,1.8760032e-13,4.2524894e-06,0.24449345,1.9486076e-13,1.8760032e-13,4.2379593e-06,0.24848084,1.9486076e-13,1.8760032e-13,4.7097487e-06
1.0,5.308864e-12,5.496244e-12,5.3968293e-12,5.3939683e-12,5.335969e-12,5.496936e-12,5.3943386e-12,5.394771e-12,5.3353997e-12,5.4970408e-12,5.394812e-12,5.394442e-12,5.3352774e-12,5.49702e-12,5.3946886e-12,5.394504e-12,5.335318e-12,5.4970408e-12,5.394586e-12,5.394504e-12,5.335318e-12,5.4970408e-12,5.394586e-12,5.394504e-12,5.3352774e-12,5.4970408e-12,5.394586e-12,5.394504e-12,5.3352565e-12,5.49702e-12,5.394586e-12,5.394504e-12,5.3352774e-12,5.4970408e-12,5.394586e-12,5.394504e-12,5.3352774e-12,5.4970408e-12,5.394586e-12,5.394504e-12,5.3352774e-12,5.4970408e-12,5.394586e-12,5.394504e-12,5.3352774e-12,5.4970408e-12,5.394586e-12,5.394504e-12,5.3352774e-12,5.4970408e-12,5.394586e-12,5.394504e-12,5.3352774e-12,5.4970408e-12,5.394586e-12,5.394504e-12,5.3352774e-12,5.4970408e-12,5.394586e-12
1.0,4.6172094e-12,4.791441e-12,5.3930016e-12,5.388724e-12,4.602754e-12,4.76572e-12,5.3963765e-12,5.398868e-12,4.602245e-12,4.7668657e-12,5.3993624e-12,5.397797e-12,4.607163e-12,4.766793e-12,5.3989916e-12,5.3980856e-12,4.601648e-12,4.7668475e-12,5.398806e-12,5.3980856e-12,4.6015253e-12,4.7668475e-12,5.398806e-12,5.3980856e-12,4.606601e-12,4.7668475e-12,5.398806e-12,5.3980856e-12,4.606601e-12,4.7668475e-12,5.398806e-12,5.3980856e-12,4.606601e-12,4.7668475e-12,5.398806e-12,5.3980856e-12,4.6065833e-12,4.7668475e-12,5.398806e-12,5.3980856e-12,4.6065833e-12,4.7668475e-12,5.398806e-12,5.3980856e-12,4.6065833e-12,4.7668475e-12,5.398806e-12,5.3980856e-12,4.6065833e-12,4.7668475e-12,5.398806e-12,5.3980856e-12,4.6065833e-12,4.7668475e-12,5.398806e-12,5.3980856e-12,4.6065833e-12,4.7668475e-12,5.398806e-12
1.6804976e-14,3.251615e-12,2.6133216e-14,7.2516683e-13,8.7749214e-13,0.8358698,2.6150172e-14,9.349714e-13,9.424267e-13,0.16377081,2.6150518e-14,9.9621e-13,9.646377e-13,2.4049526e-05,2.615047e-14,9.821767e-13,9.679015e-13,4.3889908e-05,2.615047e-14,9.77635e-13,9.680641e-13,5.903758e-05,2.615047e-14,9.776238e-13,9.680604e-13,2.4765162e-05,2.615047e-14,9.776163e-13,9.680604e-13,2.5985242e-05,2.615047e-14,9.7762e-13,9.680641e-13,2.5936148e-05,2.615047e-14,9.7762e-13,9.680641e-13,2.5942481e-05,2.615047e-14,9.7762e-13,9.680658e-13,2.5961044e-05,2.615047e-14,9.7762e-13,9.680658e-13,2.597449e-05,2.615047e-14,9.7762e-13,9.680658e-13,2.5944635e-05,2.615047e-14,9.7762e-13,9.680658e-13,2.5973946e-05,2.615047e-14,9.7762e-13,9.680658e-13,2.59733e-05,2.615047e-14,9.7762e-13
