topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10,topic_11,topic_12,topic_13,topic_14,topic_15,topic_16,topic_17,topic_18,topic_19,topic_20,topic_21,topic_22,topic_23,topic_24,topic_25,topic_26,topic_27,topic_28,topic_29,topic_30,topic_31,topic_32,topic_33,topic_34,topic_35,topic_36,topic_37,topic_38,topic_39,topic_40,topic_41,topic_42,topic_43,topic_44,topic_45,topic_46,topic_47,topic_48,topic_49,topic_50,topic_51,topic_52,topic_53,topic_54
1.4490926e-05,2.6014382e-05,1.7419636e-05,0.00011844075,0.00019228939,0.000114052484,1.8117164e-05,0.000117990465,0.00026288207,0.00012777293,1.7720044e-05,0.0001231293,0.00024563997,0.00064167107,1.7643235e-05,0.00018737555,0.0003435381,0.00010769035,1.763173e-05,0.07099108,0.09463911,0.00012061345,1.7645338e-05,0.0015568252,0.00080626854,0.05906884,1.763918e-05,0.0706772,0.06981799,0.00011698644,1.76377e-05,0.00028391223,0.0013220136,0.000115655035,1.7914994e-05,0.00028047696,0.15297931,0.00013266758,1.7644043e-05,0.00028049218,0.2131144,0.00013683623,1.7640274e-05,0.00028252634,0.002989294,0.00016683736,1.7640814e-05,0.0002917756,0.07909893,0.00027462663,1.7640847e-05,0.0014490851,0.10776744,0.068368234,1.7640863e-05
2.4621075e-05,0.10371946,1.41643095e-05,2.3397226e-05,0.00015674597,0.23831476,1.3605429e-05,2.76894e-05,9.650661e-05,0.59178144,1.3469651e-05,2.4239847e-05,8.334979e-05,0.0004584029,1.3549581e-05,2.3529314e-05,8.536788e-05,0.00088862755,1.4321997e-05,2.3501281e-05,8.150632e-05,0.0030032853,2.028193e-05,2.3523973e-05,9.5141346e-05,0.0095882565,1.3684691e-05,2.4245048e-05,8.408198e-05,0.000713893,1.3711275e-05,2.3571673e-05,8.471849e-05,0.046879377,1.3692627e-05,2.3879182e-05,8.530847e-05,0.0005359917,1.382427e-05,2.3694367e-05,8.4320716e-05,0.0005607997,1.4164891e-05,2.3546821e-05,0.00012915503,0.0005718166,1.558129e-05,2.3558008e-05,8.4627565e-05,0.0006209145,1.4429372e-05,2.3553672e-05,8.4969804e-05,0.0005878498,1.4432275e-05
9.132593e-06,0.0023004222,6.18057e-06,1.1049531e-05,4.2848627e-05,0.0010945407,6.1681053e-06,1.1125663e-05,4.3084776e-05,0.99385214,6.1657056e-06,1.139689e-05,4.30614e-05,0.00017332971,6.1710466e-06,1.1119087e-05,4.4431366e-05,0.00017608913,6.169187e-06,1.1102842e-05,4.3064603e-05,0.00018375833,6.174485e-06,1.1092915e-05,4.3127406e-05,0.00017160173,6.1710466e-06,1.10964065e-05,4.3134976e-05,0.00017651284,6.1709293e-06,1.1096693e-05,4.31402e-05,0.00017295638,6.1709584e-06,1.1093963e-05,4.313835e-05,0.00017320877,6.1719884e-06,1.1094746e-05,4.3150445e-05,0.00020011867,6.1714118e-06,1.1094016e-05,4.3146e-05,0.00017426454,6.1714645e-06,1.1094778e-05,4.314489e-05,0.00017494857,6.1714704e-06,1.1094503e-05,4.3145876e-05,0.00017434797,6.1714704e-06
1.9322555e-05,4.46933e-05,1.458753e-05,2.2626751e-05,0.0009139349,0.08881109,1.578906e-05,2.7267313e-05,0.50089467,7.9580175e-05,2.7958913e-05,2.2479808e-05,0.096767195,0.060246814,1.50731985e-05,2.2902093e-05,0.0003456651,7.352899e-05,1.502711e-05,2.4761437e-05,0.0019428517,7.084592e-05,1.5091163e-05,2.2608696e-05,0.06303355,0.000102270125,1.5055253e-05,2.2693008e-05,0.070512936,7.31273e-05,1.5053157e-05,2.283514e-05,0.00042198383,0.11257902,1.5052554e-05,2.2592274e-05,0.0003648137,7.181432e-05,1.5075483e-05,2.2647173e-05,0.00039356973,7.1995775e-05,1.5063181e-05,2.2594277e-05,0.0005342399,7.382642e-05,1.5064388e-05,2.261717e-05,0.0004218408,7.472024e-05,1.5064474e-05,2.2609345e-05,0.00046209904,7.2777075e-05,1.5064547e-05
0.49399468,0.0002981562,8.328935e-06,2.4364372e-05,6.654109e-05,0.00012500561,8.359246e-06,2.441608e-05,7.061604e-05,0.00013501332,8.3604655e-06,2.4462226e-05,6.739116e-05,0.00017207724,8.366143e-06,2.4452385e-05,6.6997076e-05,0.00025907694,8.364493e-06,2.4452944e-05,6.778003e-05,0.000264309,8.365937e-06,2.4458168e-05,6.727308e-05,0.0002873938,8.365785e-06,2.4461362e-05,6.729099e-05,0.00041584417,8.365754e-06,2.4460709e-05,6.729451e-05,0.0004118053,8.365754e-06,2.445938e-05,6.729162e-05,0.00073511153,8.365985e-06,2.445922e-05,6.7297406e-05,0.49842066,8.365849e-06,2.4459569e-05,6.729715e-05,0.0010667318,8.365849e-06,2.4459847e-05,6.729799e-05,0.0010531786,8.365857e-06,2.4459754e-05,6.729721e-05,0.001048466,8.365857e-06
1.7810173e-05,3.4947563e-05,0.00010385467,0.00023040903,3.7783433e-05,0.0018534369,0.00025298554,0.00018237895,3.1762906e-05,0.00010727152,5.6765868e-05,0.5663016,3.1543088e-05,0.00011248907,5.797265e-05,0.00022179466,3.179115e-05,0.08664642,0.090914175,0.00021676281,8.551875e-05,0.0002520959,7.373113e-05,0.0002490066,3.3977813e-05,0.069270715,7.356489e-05,0.00021806493,3.2526536e-05,0.0002330523,7.353788e-05,0.00021814897,3.2479915e-05,0.090202935,7.352834e-05,0.0002173963,3.249302e-05,0.08848389,7.377072e-05,0.00021733661,3.2519958e-05,0.0003417268,7.365045e-05,0.00021744898,3.2509386e-05,0.00032172602,7.3662326e-05,0.00021776692,3.2514065e-05,0.00034130958,7.366331e-05,0.00021763299,3.2518565e-05,0.0003260261,7.366387e-05
3.2859003e-07,6.3968895e-07,1.5686868e-07,3.7255438e-07,1.17881145e-05,2.812396e-06,1.5911047e-07,3.401301e-07,1.1181121e-05,2.724945e-06,1.5909485e-07,3.427605e-07,0.3252785,2.7758613e-06,1.5931607e-07,3.4220724e-07,1.99223e-05,2.8907557e-06,1.5926337e-07,3.424426e-07,3.0840816e-05,3.0238805e-06,1.5930574e-07,3.4247202e-07,0.00013388107,3.7917252e-06,1.593074e-07,3.426239e-07,0.0001729654,3.1091638e-06,1.5930772e-07,3.42586e-07,0.00037814048,3.1015527e-06,1.5930695e-07,3.4256016e-07,0.00022249646,3.1171444e-06,1.5930893e-07,3.425507e-07,0.00040954872,3.1195596e-06,1.5930802e-07,3.425677e-07,0.00065708207,3.1205652e-06,1.5930802e-07,3.4257098e-07,0.0032816015,3.1216427e-06,1.5930816e-07,3.4257e-07,0.6693445,3.1208835e-06,1.5930816e-07
0.00039512833,1.22339525e-05,4.451298e-05,1.7025393e-05,0.006367149,3.87058e-05,0.4966455,2.8320981e-05,0.00011097876,3.2017866e-05,0.000111907866,1.7445022e-05,8.194205e-05,3.596434e-05,8.7266795e-05,1.8236966e-05,0.1331659,3.6536618e-05,8.6954686e-05,1.741864e-05,0.0854501,0.00018454791,8.744408e-05,1.751071e-05,0.12388098,3.835876e-05,8.733973e-05,1.7622115e-05,0.00013452851,4.1574236e-05,8.733249e-05,1.7691593e-05,0.00015913341,4.596716e-05,8.7324246e-05,1.768842e-05,0.15050274,8.4630854e-05,8.745576e-05,2.030945e-05,0.0002737269,3.744289e-05,8.7393804e-05,1.768218e-05,0.00017928531,3.8605194e-05,8.739956e-05,1.770638e-05,0.00028728135,4.352632e-05,8.7399974e-05,1.7698881e-05,0.00023160114,0.000104384926,8.740039e-05
1.7215848e-06,4.3811656e-06,1.0020085e-06,1.9844708e-06,6.5564716e-05,1.5435742e-05,1.0097729e-06,2.0132356e-06,7.3417585e-05,1.5646316e-05,1.0091665e-06,2.0007753e-06,7.614596e-05,1.7782719e-05,1.0097181e-06,2.0005082e-06,0.00011991956,1.6125889e-05,1.0095496e-06,2.0010464e-06,0.13826987,1.6178508e-05,1.0096401e-06,2.0014547e-06,0.00041032542,1.6419763e-05,1.0096285e-06,2.0018613e-06,0.0005228636,1.6267251e-05,1.0096304e-06,2.0017221e-06,0.57521147,1.6250444e-05,1.0096276e-06,2.0015234e-06,0.0006624281,1.6275399e-05,1.0096477e-06,2.0014968e-06,0.00097081374,1.62799e-05,1.009641e-06,2.0015386e-06,0.28081128,1.628122e-05,1.009641e-06,2.0015846e-06,0.0012972774,1.6289001e-05,1.0096419e-06,2.001569e-06,0.0012508688,1.6281654e-05,1.0096419e-06
2.1040818e-05,1.8088847e-05,0.7566115,1.4509438e-05,4.9351165e-05,0.000116716714,0.00018309763,2.2362341e-05,0.06257878,9.643323e-05,0.00018485196,1.8155313e-05,1.7224815e-05,0.00043056204,0.00018404824,1.4712482e-05,2.077721e-05,0.0005488046,0.00018359123,1.4701991e-05,0.060070336,0.00017960483,0.00018402647,2.1042586e-05,2.2805878e-05,0.0001107285,0.00018389682,1.502994e-05,2.6329157e-05,0.00010666748,0.00018389735,1.5100009e-05,2.6592355e-05,0.00011056051,0.00018388139,1.6668137e-05,2.658528e-05,0.11562069,0.00018401981,1.5062183e-05,2.9130077e-05,0.0001164782,0.00018395278,1.5116996e-05,2.8531827e-05,0.00011700045,0.00018395945,1.5132992e-05,2.9421275e-05,0.00012005419,0.00018396051,1.5129602e-05,2.7573806e-05,0.0001177309,0.00018396067
